iter	Logloss
0	0.670198394
1	0.6497348692
2	0.6340191849
3	0.6179390264
4	0.6042420302
5	0.5888837489
6	0.5767982297
7	0.5643734816
8	0.5531720417
9	0.5422126336
10	0.532171482
11	0.5237549572
12	0.516661078
13	0.5088304349
14	0.5021987233
15	0.4959356417
16	0.4908383687
17	0.4834680325
18	0.4784028588
19	0.4731267914
20	0.4674746506
21	0.4627500705
22	0.4572844156
23	0.4531501522
24	0.4490144001
25	0.4445276028
26	0.4403404298
27	0.4372872453
28	0.4333698924
29	0.4294844837
30	0.425805937
31	0.4225685616
32	0.4195522215
33	0.41622472
34	0.4133223247
35	0.4101789521
36	0.4075876251
37	0.4042875709
38	0.4010036748
39	0.397754173
40	0.3944629576
41	0.3913076447
42	0.3892530116
43	0.3863699688
44	0.3843535447
45	0.3818676336
46	0.3790162559
47	0.3763692282
48	0.3734844797
49	0.3705232822
50	0.3686947396
51	0.3665543223
52	0.3641140946
53	0.3620269279
54	0.3591218654
55	0.356646406
56	0.355035084
57	0.3520912232
58	0.350072473
59	0.3476140712
60	0.3452754137
61	0.3429429589
62	0.3407493839
63	0.3385938009
64	0.3371943032
65	0.3354798604
66	0.3326866026
67	0.3301629788
68	0.3284198172
69	0.3261739839
70	0.3246048098
71	0.322784765
72	0.3207504769
73	0.318586272
74	0.315801605
75	0.313963107
76	0.312684408
77	0.3107126127
78	0.3090921417
79	0.3077475695
80	0.305993243
81	0.3048305977
82	0.3033541548
83	0.3019315518
84	0.3003477391
85	0.297902239
86	0.2972796991
87	0.2957249773
88	0.294279145
89	0.293155236
90	0.2913406496
91	0.2890450702
92	0.2870255447
93	0.2852091285
94	0.2836626875
95	0.2816647165
96	0.2808458282
97	0.279308164
98	0.2779650804
99	0.2764338051
