iter	Passed	Remaining
0	9	912
1	14	704
2	20	665
3	25	615
4	30	581
5	40	628
6	48	638
7	57	657
8	62	629
9	70	633
10	75	611
11	81	599
12	87	584
13	92	567
14	99	562
15	105	554
16	110	541
17	116	532
18	121	518
19	127	508
20	133	502
21	138	491
22	144	484
23	153	486
24	158	476
25	166	473
26	172	465
27	185	477
28	189	463
29	218	509
30	230	512
31	235	500
32	243	494
33	249	483
34	253	471
35	260	463
36	266	453
37	271	442
38	278	435
39	283	425
40	291	418
41	296	409
42	301	399
43	309	393
44	314	384
45	320	375
46	326	367
47	331	358
48	336	350
49	342	342
50	348	334
51	355	328
52	361	320
53	366	311
54	374	306
55	382	300
56	391	295
57	398	288
58	407	283
59	412	275
60	420	268
61	425	260
62	430	252
63	437	245
64	441	237
65	447	230
66	452	223
67	457	215
68	464	208
69	469	201
70	474	193
71	481	187
72	486	179
73	491	172
74	497	165
75	502	158
76	506	151
77	512	144
78	519	138
79	524	131
80	531	124
81	536	117
82	543	111
83	549	104
84	555	97
85	561	91
86	568	84
87	579	79
88	585	72
89	619	68
90	626	61
91	631	54
92	636	47
93	642	41
94	647	34
95	652	27
96	659	20
97	664	13
98	669	6
99	675	0
